Node ID: 10090.ENSMUSP00000139265, Between Value: 0.0
Node ID: 10090.ENSMUSP00000030207, Between Value: 0.0
Node ID: 10090.ENSMUSP00000027587, Between Value: 0.0
Node ID: 10090.ENSMUSP00000103012, Between Value: 1514.0922794994851
Node ID: 10090.ENSMUSP00000036203, Between Value: 0.0
Node ID: 10090.ENSMUSP00000071202, Between Value: 0.0
Node ID: 10090.ENSMUSP00000018572, Between Value: 0.0
Node ID: 10090.ENSMUSP00000028062, Between Value: 156.0
Node ID: 10090.ENSMUSP00000033098, Between Value: 0.0
Node ID: 10090.ENSMUSP00000028207, Between Value: 0.0
Node ID: 10090.ENSMUSP00000045441, Between Value: 310.0
Node ID: 10090.ENSMUSP00000043672, Between Value: 0.0
Node ID: 10090.ENSMUSP00000133024, Between Value: 310.0
Node ID: 10090.ENSMUSP00000075290, Between Value: 0.0
Node ID: 10090.ENSMUSP00000030830, Between Value: 0.0
Node ID: 10090.ENSMUSP00000032568, Between Value: 2.0
Node ID: 10090.ENSMUSP00000085993, Between Value: 44.66071428571427
Node ID: 10090.ENSMUSP00000034178, Between Value: 0.0
Node ID: 10090.ENSMUSP00000034560, Between Value: 303.83180880279
Node ID: 10090.ENSMUSP00000136158, Between Value: 0.0
Node ID: 10090.ENSMUSP00000034014, Between Value: 0.0
Node ID: 10090.ENSMUSP00000029447, Between Value: 0.0
Node ID: 10090.ENSMUSP00000134169, Between Value: 948.377200577201
Node ID: 10090.ENSMUSP00000056774, Between Value: 1432.4000000000003
Node ID: 10090.ENSMUSP00000103162, Between Value: 0.0
Node ID: 10090.ENSMUSP00000049296, Between Value: 0.0
Node ID: 10090.ENSMUSP00000047571, Between Value: 0.0
Node ID: 10090.ENSMUSP00000085192, Between Value: 0.0
Node ID: 10090.ENSMUSP00000110337, Between Value: 459.0486291486291
Node ID: 10090.ENSMUSP00000068529, Between Value: 0.0
Node ID: 10090.ENSMUSP00000126192, Between Value: 0.5
Node ID: 10090.ENSMUSP00000001455, Between Value: 0.0
Node ID: 10090.ENSMUSP00000018449, Between Value: 228.36636419136408
Node ID: 10090.ENSMUSP00000025729, Between Value: 0.0
Node ID: 10090.ENSMUSP00000021091, Between Value: 345.0419413919414
Node ID: 10090.ENSMUSP00000116313, Between Value: 16.333333333333332
Node ID: 10090.ENSMUSP00000098928, Between Value: 156.0
Node ID: 10090.ENSMUSP00000085744, Between Value: 781.9954545454551
Node ID: 10090.ENSMUSP00000081041, Between Value: 193.6261904761904
Node ID: 10090.ENSMUSP00000041087, Between Value: 0.0
Node ID: 10090.ENSMUSP00000088047, Between Value: 77.5
Node ID: 10090.ENSMUSP00000001202, Between Value: 78.0
