,genes,proteins
168,ENSG00000166348,"['ENSP00000345216', 'ENSP00000399972', 'ENSP00000402435', 'ENSP00000404644', 'ENSP00000404710', 'ENSP00000407245', 'ENSP00000407368', 'ENSP00000473466', 'ENSP00000505692', 'ENSP00000505747', 'ENSP00000508413', 'ENSP00000508456', 'ENSP00000508625', 'ENSP00000510202', 'ENSP00000510226', 'ENSP00000510416']"
169,ENSG00000170270,"['ENSP00000306320', 'ENSP00000451114']"
170,ENSG00000163888,ENSP00000296238
171,ENSG00000183255,"['ENSP00000328325', 'ENSP00000380983', 'ENSP00000380984', 'ENSP00000395374']"
172,ENSG00000080644,"['ENSP00000267951', 'ENSP00000315602', 'ENSP00000452896', 'ENSP00000453993']"
173,ENSG00000060688,"['ENSP00000263694', 'ENSP00000362825']"
174,ENSG00000198889,ENSP00000360167
175,ENSG00000087338,ENSP00000282570
176,ENSG00000235569,"['ENSP00000391330', 'ENSP00000393445', 'ENSP00000394619', 'ENSP00000399898', 'ENSP00000401072', 'ENSP00000404249', 'ENSP00000405073', 'ENSP00000409468', 'ENSP00000410698', 'ENSP00000413831', 'ENSP00000415135', 'ENSP00000415294']"
177,ENSG00000111674,"['ENSP00000229277', 'ENSP00000437402', 'ENSP00000438062', 'ENSP00000438873', 'ENSP00000441490', 'ENSP00000445788', 'ENSP00000476096', 'ENSP00000476112']"
178,ENSG00000185130,ENSP00000366618
179,ENSG00000167641,"['ENSP00000301242', 'ENSP00000301243', 'ENSP00000465104', 'ENSP00000465811', 'ENSP00000466572']"
180,ENSG00000142102,"['ENSP00000380780', 'ENSP00000386297', 'ENSP00000387099', 'ENSP00000387185', 'ENSP00000431881']"
181,ENSG00000184110,"['ENSP00000332604', 'ENSP00000378953', 'ENSP00000455277', 'ENSP00000455278', 'ENSP00000456416', 'ENSP00000457389', 'ENSP00000457418', 'ENSP00000457963']"
182,ENSG00000180011,"['ENSP00000323678', 'ENSP00000440111', 'ENSP00000463106', 'ENSP00000463844']"
183,ENSG00000161911,"['ENSP00000362219', 'ENSP00000400405', 'ENSP00000402855']"
184,ENSG00000204006,"['ENSP00000360824', 'ENSP00000473351', 'ENSP00000497349']"
185,ENSG00000149187,"['ENSP00000308386', 'ENSP00000351409', 'ENSP00000354639', 'ENSP00000378705', 'ENSP00000378706', 'ENSP00000433986', 'ENSP00000435320', 'ENSP00000435423', 'ENSP00000435926', 'ENSP00000436191', 'ENSP00000436864', 'ENSP00000438044', 'ENSP00000438862', 'ENSP00000442415', 'ENSP00000444825', 'ENSP00000508525']"
186,ENSG00000162520,"['ENSP00000362583', 'ENSP00000386439', 'ENSP00000387594', 'ENSP00000401975']"
187,ENSG00000163746,"['ENSP00000338707', 'ENSP00000418444', 'ENSP00000419669', 'ENSP00000420132', 'ENSP00000478044', 'ENSP00000478902', 'ENSP00000512407', 'ENSP00000512413', 'ENSP00000512414']"
188,ENSG00000165953,"['ENSP00000342109', 'ENSP00000451738', 'ENSP00000503935']"
189,ENSG00000214717,"['ENSP00000370616', 'ENSP00000370620', 'ENSP00000370621', 'ENSP00000419148', 'ENSP00000498725']"
190,ENSG00000174429,ENSP00000311436
191,ENSG00000185019,"['ENSP00000217173', 'ENSP00000311726', 'ENSP00000404364']"
192,ENSG00000204930,"['ENSP00000367222', 'ENSP00000373602', 'ENSP00000415299', 'ENSP00000420279']"
193,ENSG00000223350,ENSP00000414456
194,ENSG00000119431,"['ENSP00000238379', 'ENSP00000363295']"
195,ENSG00000257057,ENSP00000490577
196,ENSG00000123473,"['ENSP00000337367', 'ENSP00000353544', 'ENSP00000360944', 'ENSP00000379523', 'ENSP00000409087', 'ENSP00000411664', 'ENSP00000506981', 'ENSP00000507568']"
197,ENSG00000106809,"['ENSP00000262551', 'ENSP00000364711', 'ENSP00000396709']"
198,ENSG00000155256,"['ENSP00000337993', 'ENSP00000350148', 'ENSP00000353069', 'ENSP00000359642', 'ENSP00000359646', 'ENSP00000377282', 'ENSP00000409594', 'ENSP00000506975']"
