,genes,proteins
88,ENSMUSG00000022021,"['ENSMUSP00000022599', 'ENSMUSP00000129420', 'ENSMUSP00000153711', 'ENSMUSP00000154037', 'ENSMUSP00000154692']"
89,ENSMUSG00000014778,ENSMUSP00000014922
90,ENSMUSG00000026928,"['ENSMUSP00000028294', 'ENSMUSP00000097876']"
91,ENSMUSG00000096141,ENSMUSP00000092571
92,ENSMUSG00000037990,"['ENSMUSP00000114368', 'ENSMUSP00000120938']"
93,ENSMUSG00000049439,"['ENSMUSP00000050823', 'ENSMUSP00000137471']"
94,ENSMUSG00000023572,"['ENSMUSP00000062496', 'ENSMUSP00000097087', 'ENSMUSP00000097088', 'ENSMUSP00000125961']"
95,ENSMUSG00000029502,"['ENSMUSP00000031477', 'ENSMUSP00000108131', 'ENSMUSP00000115367']"
96,ENSMUSG00000051989,"['ENSMUSP00000070724', 'ENSMUSP00000113086']"
97,ENSMUSG00000027243,"['ENSMUSP00000088098', 'ENSMUSP00000106954', 'ENSMUSP00000116256', 'ENSMUSP00000117640', 'ENSMUSP00000121420']"
98,ENSMUSG00000024835,"['ENSMUSP00000008893', 'ENSMUSP00000118450', 'ENSMUSP00000157859', 'ENSMUSP00000158099']"
99,ENSMUSG00000035930,"['ENSMUSP00000104845', 'ENSMUSP00000148741', 'ENSMUSP00000148756']"
100,ENSMUSG00000068856,ENSMUSP00000075709
101,ENSMUSG00000030835,ENSMUSP00000033121
102,ENSMUSG00000002524,"['ENSMUSP00000002599', 'ENSMUSP00000098096', 'ENSMUSP00000154177', 'ENSMUSP00000155707']"
103,ENSMUSG00000026774,"['ENSMUSP00000028113', 'ENSMUSP00000110150']"
104,ENSMUSG00000076469,ENSMUSP00000100086
105,ENSMUSG00000035131,"['ENSMUSP00000074201', 'ENSMUSP00000116763', 'ENSMUSP00000118552', 'ENSMUSP00000126074']"
106,ENSMUSG00000025086,"['ENSMUSP00000026072', 'ENSMUSP00000026073', 'ENSMUSP00000157924']"
107,ENSMUSG00000021520,ENSMUSP00000021993
108,ENSMUSG00000096806,"['ENSMUSP00000077344', 'ENSMUSP00000149697']"
109,ENSMUSG00000032394,"['ENSMUSP00000034961', 'ENSMUSP00000149084']"
110,ENSMUSG00000062181,"['ENSMUSP00000074004', 'ENSMUSP00000090909', 'ENSMUSP00000134204']"
111,ENSMUSG00000021135,"['ENSMUSP00000093229', 'ENSMUSP00000151215', 'ENSMUSP00000151510', 'ENSMUSP00000151555']"
112,ENSMUSG00000051344,"['ENSMUSP00000095320', 'ENSMUSP00000120872', 'ENSMUSP00000138002']"
113,ENSMUSG00000031428,"['ENSMUSP00000033804', 'ENSMUSP00000098788', 'ENSMUSP00000108690']"
114,ENSMUSG00000047443,"['ENSMUSP00000084073', 'ENSMUSP00000140509']"
115,ENSMUSG00000033768,"['ENSMUSP00000076424', 'ENSMUSP00000109085', 'ENSMUSP00000109086', 'ENSMUSP00000109088', 'ENSMUSP00000109089', 'ENSMUSP00000119762', 'ENSMUSP00000122920', 'ENSMUSP00000157405', 'ENSMUSP00000158360']"
116,ENSMUSG00000079007,"['ENSMUSP00000000718', 'ENSMUSP00000152596']"
117,ENSMUSG00000035478,"['ENSMUSP00000089948', 'ENSMUSP00000100984', 'ENSMUSP00000100985', 'ENSMUSP00000100986', 'ENSMUSP00000120675']"
118,ENSMUSG00000028698,"['ENSMUSP00000030464', 'ENSMUSP00000102099', 'ENSMUSP00000118568']"
119,ENSMUSG00000000078,"['ENSMUSP00000000080', 'ENSMUSP00000152088']"
120,ENSMUSG00000031385,ENSMUSP00000002079
121,ENSMUSG00000053286,"['ENSMUSP00000068309', 'ENSMUSP00000140009']"
122,ENSMUSG00000018189,"['ENSMUSP00000018333', 'ENSMUSP00000139668', 'ENSMUSP00000140106', 'ENSMUSP00000140681']"
123,ENSMUSG00000039693,"['ENSMUSP00000056551', 'ENSMUSP00000065785', 'ENSMUSP00000103332']"
124,ENSMUSG00000035297,"['ENSMUSP00000048416', 'ENSMUSP00000114585', 'ENSMUSP00000115767', 'ENSMUSP00000119737', 'ENSMUSP00000121979']"
125,ENSMUSG00000032503,"['ENSMUSP00000035085', 'ENSMUSP00000069264', 'ENSMUSP00000107503', 'ENSMUSP00000123715', 'ENSMUSP00000123883', 'ENSMUSP00000123937', 'ENSMUSP00000124502', 'ENSMUSP00000124550', 'ENSMUSP00000124670', 'ENSMUSP00000125095', 'ENSMUSP00000125282', 'ENSMUSP00000125684', 'ENSMUSP00000125862', 'ENSMUSP00000130558', 'ENSMUSP00000136769']"
126,ENSMUSG00000058354,ENSMUSP00000023788
127,ENSMUSG00000017548,"['ENSMUSP00000017692', 'ENSMUSP00000126932', 'ENSMUSP00000128945', 'ENSMUSP00000129070']"
128,ENSMUSG00000062867,"['ENSMUSP00000079888', 'ENSMUSP00000142117', 'ENSMUSP00000142305']"
129,ENSMUSG00000025774,"['ENSMUSP00000026876', 'ENSMUSP00000110997', 'ENSMUSP00000111001']"
130,ENSMUSG00000027712,"['ENSMUSP00000029266', 'ENSMUSP00000143650']"
131,ENSMUSG00000022378,"['ENSMUSP00000066359', 'ENSMUSP00000132486', 'ENSMUSP00000153790', 'ENSMUSP00000154205', 'ENSMUSP00000154320', 'ENSMUSP00000154547']"
132,ENSMUSG00000019888,"['ENSMUSP00000020039', 'ENSMUSP00000114010', 'ENSMUSP00000116216', 'ENSMUSP00000116902', 'ENSMUSP00000117148', 'ENSMUSP00000118056', 'ENSMUSP00000131551', 'ENSMUSP00000135959', 'ENSMUSP00000151859']"
133,ENSMUSG00000041837,"['ENSMUSP00000035515', 'ENSMUSP00000148947', 'ENSMUSP00000151141']"
134,ENSMUSG00000019467,"['ENSMUSP00000019611', 'ENSMUSP00000126339', 'ENSMUSP00000151325', 'ENSMUSP00000151492', 'ENSMUSP00000151801', 'ENSMUSP00000151876', 'ENSMUSP00000152503']"
135,ENSMUSG00000021281,"['ENSMUSP00000099806', 'ENSMUSP00000105415', 'ENSMUSP00000133274', 'ENSMUSP00000133317', 'ENSMUSP00000133512', 'ENSMUSP00000133635', 'ENSMUSP00000133807']"
136,ENSMUSG00000115744,"['ENSMUSP00000074564', 'ENSMUSP00000153967', 'ENSMUSP00000154216', 'ENSMUSP00000154371', 'ENSMUSP00000154504', 'ENSMUSP00000154548']"
137,ENSMUSG00000038860,"['ENSMUSP00000057582', 'ENSMUSP00000099874', 'ENSMUSP00000119973', 'ENSMUSP00000122576', 'ENSMUSP00000123601', 'ENSMUSP00000141523', 'ENSMUSP00000142077']"
138,ENSMUSG00000072511,"['ENSMUSP00000098149', 'ENSMUSP00000159116']"
139,ENSMUSG00000042751,"['ENSMUSP00000041110', 'ENSMUSP00000140497', 'ENSMUSP00000140585']"
140,ENSMUSG00000014313,"['ENSMUSP00000014457', 'ENSMUSP00000121106', 'ENSMUSP00000122391', 'ENSMUSP00000123609']"
141,ENSMUSG00000094030,ENSMUSP00000137335
142,ENSMUSG00000034127,"['ENSMUSP00000049243', 'ENSMUSP00000079463', 'ENSMUSP00000136645', 'ENSMUSP00000151525']"
143,ENSMUSG00000083361,"['ENSMUSP00000114121', 'ENSMUSP00000149581']"
144,ENSMUSG00000076605,ENSMUSP00000142356
145,ENSMUSG00000024965,"['ENSMUSP00000037858', 'ENSMUSP00000157637', 'ENSMUSP00000157792', 'ENSMUSP00000158556']"
146,ENSMUSG00000022142,"['ENSMUSP00000128819', 'ENSMUSP00000155093']"
147,ENSMUSG00000048521,"['ENSMUSP00000060776', 'ENSMUSP00000151182']"
148,ENSMUSG00000032988,ENSMUSP00000040522
149,ENSMUSG00000068394,ENSMUSP00000087208
150,ENSMUSG00000073375,ENSMUSP00000094893
151,ENSMUSG00000029098,"['ENSMUSP00000063412', 'ENSMUSP00000067178', 'ENSMUSP00000109875', 'ENSMUSP00000109876', 'ENSMUSP00000119216', 'ENSMUSP00000144499', 'ENSMUSP00000144658']"
152,ENSMUSG00000001300,"['ENSMUSP00000001319', 'ENSMUSP00000116027']"
153,ENSMUSG00000042804,"['ENSMUSP00000052742', 'ENSMUSP00000101275', 'ENSMUSP00000101276']"
154,ENSMUSG00000041623,"['ENSMUSP00000042025', 'ENSMUSP00000102232', 'ENSMUSP00000116817', 'ENSMUSP00000117685']"
155,ENSMUSG00000073016,ENSMUSP00000085175
156,ENSMUSG00000085079,ENSMUSP00000120275
157,ENSMUSG00000031432,ENSMUSP00000033809
158,ENSMUSG00000022110,"['ENSMUSP00000022706', 'ENSMUSP00000123765', 'ENSMUSP00000123898']"
159,ENSMUSG00000035293,"['ENSMUSP00000054474', 'ENSMUSP00000113191', 'ENSMUSP00000113270']"
160,ENSMUSG00000035299,"['ENSMUSP00000038765', 'ENSMUSP00000077974', 'ENSMUSP00000078412', 'ENSMUSP00000107732', 'ENSMUSP00000107733', 'ENSMUSP00000107735', 'ENSMUSP00000126746', 'ENSMUSP00000128176']"
161,ENSMUSG00000094898,"['ENSMUSP00000089324', 'ENSMUSP00000154490', 'ENSMUSP00000154790']"
162,ENSMUSG00000050520,ENSMUSP00000051887
163,ENSMUSG00000027318,"['ENSMUSP00000052486', 'ENSMUSP00000105861', 'ENSMUSP00000117097', 'ENSMUSP00000122608', 'ENSMUSP00000139344', 'ENSMUSP00000139366']"
164,ENSMUSG00000054215,ENSMUSP00000063287
165,ENSMUSG00000009588,ENSMUSP00000009732
166,ENSMUSG00000050711,"['ENSMUSP00000062556', 'ENSMUSP00000139740']"
167,ENSMUSG00000003955,"['ENSMUSP00000004057', 'ENSMUSP00000156171']"
168,ENSMUSG00000072966,"['ENSMUSP00000108761', 'ENSMUSP00000134666']"
169,ENSMUSG00000020358,"['ENSMUSP00000074238', 'ENSMUSP00000098807', 'ENSMUSP00000104731']"
170,ENSMUSG00000019945,"['ENSMUSP00000020103', 'ENSMUSP00000128895']"
171,ENSMUSG00000028952,"['ENSMUSP00000067521', 'ENSMUSP00000114726', 'ENSMUSP00000116423', 'ENSMUSP00000117079']"
172,ENSMUSG00000100079,ENSMUSP00000071333
173,ENSMUSG00000053820,ENSMUSP00000063842
174,ENSMUSG00000042419,ENSMUSP00000035452
175,ENSMUSG00000031310,"['ENSMUSP00000068197', 'ENSMUSP00000112399', 'ENSMUSP00000112475', 'ENSMUSP00000112497', 'ENSMUSP00000113049', 'ENSMUSP00000113225', 'ENSMUSP00000113462', 'ENSMUSP00000114005', 'ENSMUSP00000114118', 'ENSMUSP00000118986']"
176,ENSMUSG00000023967,"['ENSMUSP00000024763', 'ENSMUSP00000122433']"
177,ENSMUSG00000030945,"['ENSMUSP00000081697', 'ENSMUSP00000095690', 'ENSMUSP00000115048', 'ENSMUSP00000118174', 'ENSMUSP00000118276', 'ENSMUSP00000126670', 'ENSMUSP00000146400', 'ENSMUSP00000146746']"
178,ENSMUSG00000074781,"['ENSMUSP00000096932', 'ENSMUSP00000151850']"
